Output for File: data/Communities and Crime Normalized/communities.data
Correlation Matrix:

        x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25   x26   x27   x28   x29   x30   x31   x32   x33   x34   x35   x36   x37   x38   x39   x40   x41   x42   x43   x44   x45   x46   x47   x48   x49   x50   x51   x52   x53   x54   x55   x56   x57   x58   x59   x60   x61   x62   x63   x64   x65   x66   x67   x68   x69   x70   x71   x72   x73   x74   x75   x76   x77   x78   x79   x80   x81   x82   x83   x84   x85   x86   x87   x88   x89   x90   x91   x92   x93   x94   x95   x96   x97   x98   x99   x100  x101  x102  x103  x104  x105  x106  x107  x108  x109  x110  x111  x112  x113  x114  x115  x116  x117  x118  x119  x120  x121  x122  x123  x124  x125  x126  x127  
x68:  -0.15 -0.09 -0.18  0.03  0.01  0.12  0.74  0.11 -0.52  0.24  0.75  0.27  0.22  0.09 -0.35  0.13  0.05 -0.08  0.11  0.07 -0.45 -0.20  0.46 -0.26 -0.18 -0.31 -0.25 -0.09 -0.03 -0.13 -0.08 -0.22  0.17  0.30  0.47  0.43 -0.30  0.46 -0.12  0.05 -0.24  0.28 -0.33 -0.08  0.16  0.04 -0.02  0.90 -0.10 -0.18 -0.14 -0.06 -0.27 -0.40  0.16  0.31  0.30  0.06  0.11  0.14  0.20  0.49  0.51  0.52  0.55 -0.68  0.72  0.98  1.00  0.79  0.70  0.82 -0.15  0.84  0.08 -0.08  0.03  0.04 -0.08  0.27 -0.05  0.09  0.24  0.35  0.03  0.03  0.01  0.03  0.03  0.04  0.03  0.25  0.29 -0.06  0.09  0.12  0.53 -0.09 -0.01  0.13  0.10  0.08  0.03  0.07  0.03  0.09  0.05  0.10  0.03  0.03  0.01  0.10  0.23  0.12  0.20  0.07  0.07  0.11  0.01  0.28  0.08  0.06  0.09  0.07  0.07  0.07  0.05  0.20 
x69:  -0.08 -0.07 -0.03  0.07  0.04 -0.04  0.89 -0.11 -0.21  0.21  0.51  0.23  0.08 -0.04 -0.59 -0.03  0.07  0.31  0.47  0.12 -0.15 -0.45  0.09 -0.30  0.18 -0.05 -0.05  0.15  0.05  0.02  0.08  0.00 -0.04 -0.09  0.16  0.11 -0.11  0.12  0.24  0.11 -0.29  0.09 -0.11 -0.41 -0.12 -0.30 -0.36  0.93  0.35  0.27  0.26  0.34 -0.26 -0.31 -0.03 -0.04  0.12 -0.12 -0.09 -0.06 -0.01  0.26  0.28  0.30  0.32 -0.46  0.46  0.70  0.79  1.00  0.92  0.78  0.27  0.52 -0.42  0.30 -0.17  0.26  0.33  0.06 -0.04  0.28 -0.06  0.13  0.18  0.17  0.13  0.23  0.24  0.24  0.26  0.02  0.30 -0.08 -0.09 -0.04  0.35 -0.04  0.11  0.10  0.11 -0.06 -0.13 -0.10 -0.14 -0.05 -0.12 -0.06 -0.13 -0.12 -0.14 -0.06  0.09  0.01  0.02 -0.07 -0.10 -0.05 -0.01  0.02 -0.03 -0.08 -0.05 -0.10 -0.06 -0.09 -0.11  0.04 
x70:   0.00 -0.06  0.09  0.06  0.03  0.00  0.83 -0.17 -0.12  0.21  0.42  0.23  0.14  0.01 -0.65  0.01  0.15  0.38  0.59  0.09 -0.03 -0.54 -0.02 -0.37  0.28  0.04  0.01  0.22  0.07  0.05  0.12  0.07 -0.02 -0.19  0.05 -0.02  0.01  0.02  0.36  0.12 -0.20  0.01  0.00 -0.48 -0.02 -0.38 -0.43  0.89  0.42  0.36  0.34  0.40 -0.21 -0.24 -0.01 -0.10  0.14 -0.10 -0.09 -0.07 -0.04  0.25  0.26  0.28  0.29 -0.42  0.40  0.62  0.70  0.92  1.00  0.56  0.28  0.41 -0.41  0.30 -0.16  0.36  0.26  0.02 -0.10  0.20 -0.19  0.06  0.23  0.21  0.17  0.28  0.28  0.28  0.29 -0.07  0.28 -0.02 -0.06 -0.03  0.34  0.01  0.15  0.11  0.13 -0.03 -0.10 -0.06 -0.11 -0.02 -0.10 -0.04 -0.10 -0.07 -0.09 -0.04  0.10  0.01  0.04 -0.05 -0.07 -0.02 -0.01  0.09  0.09 -0.06 -0.02 -0.05 -0.05 -0.07 -0.09 -0.03 
x71:  -0.18 -0.08 -0.29  0.04  0.03  0.03  0.73  0.11 -0.47  0.23  0.64  0.27  0.20  0.07 -0.40  0.02 -0.06 -0.09  0.14  0.12 -0.50 -0.27  0.40 -0.25 -0.22 -0.35 -0.30 -0.12 -0.05 -0.16 -0.08 -0.25  0.07  0.29  0.42  0.41 -0.36  0.40 -0.07  0.06 -0.35  0.30 -0.38 -0.02 -0.03  0.10  0.04  0.77 -0.07 -0.16 -0.13 -0.04 -0.23 -0.34  0.06  0.24  0.18  0.04  0.11  0.15  0.21  0.37  0.40  0.41  0.43 -0.54  0.58  0.77  0.82  0.78  0.56  1.00 -0.14  0.74 -0.04  0.00 -0.03 -0.05  0.00  0.20 -0.02  0.28  0.30  0.31 -0.03 -0.03 -0.05  0.02  0.01  0.01  0.04  0.22  0.28 -0.13 -0.01  0.03  0.40 -0.17 -0.18 -0.04 -0.02 -0.01 -0.04 -0.01 -0.05  0.01 -0.02  0.02 -0.04 -0.05 -0.06  0.02  0.14  0.06  0.09  0.00 -0.01  0.02  0.02  0.09 -0.13 -0.02  0.00 -0.02  0.01  0.00 -0.03  0.18 
x72:   0.08  0.00  0.26  0.06  0.03 -0.25  0.14 -0.38  0.51 -0.12 -0.33 -0.27 -0.58 -0.48  0.05 -0.23  0.07  0.62  0.23  0.08  0.59  0.03 -0.54  0.24  0.58  0.49  0.39  0.37  0.15  0.32  0.23  0.42 -0.33 -0.63 -0.42 -0.43  0.26 -0.48  0.27  0.04 -0.02 -0.32  0.37 -0.55 -0.59 -0.62 -0.60  0.04  0.73  0.71  0.65  0.68 -0.02  0.08 -0.30 -0.62 -0.27 -0.43 -0.48 -0.50 -0.52 -0.41 -0.41 -0.39 -0.39  0.30 -0.37 -0.27 -0.15  0.27  0.28 -0.14  1.00 -0.47 -0.79  0.62 -0.26  0.24  0.98 -0.26  0.15  0.17 -0.49 -0.35  0.22  0.20  0.20  0.28  0.31  0.31  0.36 -0.33 -0.04 -0.01 -0.27 -0.24 -0.26  0.16  0.54  0.28  0.29 -0.19 -0.25 -0.28 -0.27 -0.20 -0.26 -0.26 -0.25 -0.24 -0.26 -0.25 -0.21 -0.16 -0.28 -0.21 -0.28 -0.26 -0.04 -0.43 -0.15 -0.21 -0.20 -0.28 -0.20 -0.28 -0.24 -0.27 
x73:  -0.27 -0.12 -0.32  0.01  0.00  0.21  0.50  0.16 -0.64  0.35  0.88  0.22  0.30  0.17 -0.25  0.20  0.03 -0.26 -0.02  0.04 -0.57 -0.17  0.55 -0.31 -0.33 -0.37 -0.28 -0.17 -0.05 -0.19 -0.13 -0.31  0.26  0.45  0.59  0.53 -0.33  0.52 -0.20 -0.03 -0.25  0.29 -0.38  0.17  0.27  0.30  0.24  0.66 -0.31 -0.38 -0.30 -0.27 -0.21 -0.37  0.23  0.43  0.43  0.19  0.26  0.31  0.39  0.68  0.71  0.72  0.74 -0.81  0.88  0.87  0.84  0.52  0.41  0.74 -0.47  1.00  0.44 -0.36  0.15 -0.10 -0.39  0.24 -0.19  0.12  0.37  0.43  0.01  0.02  0.02  0.00 -0.03 -0.02 -0.05  0.37  0.32 -0.15  0.17  0.22  0.69 -0.26 -0.25 -0.01 -0.04  0.14  0.11  0.16  0.12  0.17  0.14  0.20  0.11  0.13  0.10  0.14  0.34  0.22  0.29  0.15  0.18  0.20  0.03  0.41  0.08  0.14  0.17  0.17  0.16  0.17  0.14  0.26 
x74:  -0.16 -0.06 -0.22 -0.06 -0.04  0.22 -0.33  0.23 -0.37  0.06  0.33  0.02  0.31  0.26  0.26  0.21 -0.02 -0.61 -0.42 -0.13 -0.49  0.24  0.45 -0.07 -0.56 -0.41 -0.34 -0.33 -0.12 -0.26 -0.19 -0.35  0.28  0.51  0.44  0.47 -0.33  0.44 -0.37 -0.06 -0.05  0.30 -0.40  0.57  0.43  0.57  0.58 -0.20 -0.66 -0.63 -0.55 -0.59  0.06 -0.03  0.25  0.48  0.27  0.28  0.33  0.34  0.37  0.39  0.40  0.39  0.39 -0.33  0.39  0.20  0.08 -0.42 -0.41 -0.04 -0.79  0.44  1.00 -0.77  0.29 -0.38 -0.78  0.20 -0.11 -0.16  0.40  0.32 -0.20 -0.18 -0.17 -0.22 -0.26 -0.26 -0.31  0.34  0.10  0.05  0.24  0.23  0.31 -0.21 -0.37 -0.13 -0.19  0.17  0.24  0.26  0.25  0.18  0.24  0.24  0.24  0.24  0.24  0.19  0.21  0.16  0.24  0.19  0.26  0.23  0.04  0.42  0.15  0.20  0.18  0.26  0.19  0.26  0.23  0.22 
x75:   0.09  0.07  0.20  0.05  0.03 -0.21  0.22 -0.15  0.28 -0.08 -0.29 -0.08 -0.30 -0.27 -0.16 -0.20 -0.02  0.45  0.29  0.06  0.35 -0.15 -0.33  0.08  0.41  0.31  0.25  0.24  0.10  0.23  0.15  0.26 -0.26 -0.42 -0.34 -0.33  0.19 -0.34  0.28  0.10 -0.03 -0.17  0.26 -0.42 -0.39 -0.42 -0.42  0.13  0.50  0.48  0.42  0.45 -0.04  0.02 -0.21 -0.36 -0.22 -0.27 -0.31 -0.33 -0.34 -0.34 -0.34 -0.33 -0.33  0.30 -0.34 -0.17 -0.08  0.30  0.30  0.00  0.62 -0.36 -0.77  1.00 -0.25  0.27  0.61 -0.19  0.11  0.13 -0.32 -0.26  0.14  0.13  0.12  0.15  0.18  0.18  0.21 -0.30 -0.07  0.00 -0.22 -0.19 -0.27  0.18  0.31  0.14  0.16 -0.14 -0.20 -0.23 -0.21 -0.16 -0.21 -0.22 -0.20 -0.22 -0.22 -0.15 -0.19 -0.13 -0.21 -0.16 -0.23 -0.21 -0.06 -0.31 -0.11 -0.19 -0.15 -0.24 -0.18 -0.23 -0.20 -0.17 
x76:  -0.07  0.05 -0.09  0.00  0.00  0.90 -0.18  0.28 -0.28  0.04  0.10 -0.05  0.07  0.04  0.04  0.89  0.20 -0.19 -0.13 -0.12 -0.18  0.01  0.18 -0.04 -0.18 -0.08  0.02 -0.12 -0.03 -0.09 -0.05 -0.10  0.88  0.22  0.04  0.08 -0.04  0.19 -0.11 -0.19  0.02 -0.05 -0.06  0.32  0.19  0.32  0.32 -0.04 -0.34 -0.35 -0.30 -0.34 -0.02 -0.07  0.82  0.35  0.58  0.12  0.14  0.16  0.18  0.11  0.11  0.12  0.12 -0.10  0.11  0.11  0.03 -0.17 -0.16 -0.03 -0.26  0.15  0.29 -0.25  1.00 -0.38 -0.26  0.36  0.01 -0.02  0.15  0.12 -0.10 -0.09 -0.06 -0.08 -0.08 -0.07 -0.09  0.16  0.07  0.02  0.75  0.60  0.08 -0.17 -0.15 -0.03 -0.14  0.71  0.43  0.49  0.46  0.75  0.50  0.55  0.43  0.54  0.49  0.53  0.39  0.25  0.56  0.65  0.61  0.47  0.70  0.15  0.22  0.81  0.71  0.53  0.48  0.46  0.41  0.19 
x77:   0.02  0.07  0.19 -0.02 -0.02 -0.09  0.23 -0.25  0.18  0.25 -0.08  0.03  0.02  0.00 -0.28 -0.07  0.17  0.39  0.41 -0.03  0.34 -0.28 -0.22 -0.05  0.38  0.25  0.19  0.28  0.07  0.12  0.13  0.21 -0.15 -0.37 -0.19 -0.26  0.23 -0.33  0.38  0.30  0.04 -0.03  0.23 -0.38  0.03 -0.32 -0.36  0.19  0.38  0.39  0.37  0.35  0.02  0.06 -0.13 -0.24  0.01 -0.03 -0.05 -0.06 -0.08  0.10  0.09  0.09  0.08  0.00  0.00 -0.01  0.04  0.26  0.36 -0.05  0.24 -0.10 -0.38  0.27 -0.38  1.00  0.18 -0.23 -0.29 -0.13 -0.44 -0.24  0.31  0.28  0.25  0.26  0.27  0.26  0.25 -0.22 -0.05 -0.15 -0.09 -0.08  0.11  0.17  0.23  0.16  0.21 -0.08 -0.14 -0.11 -0.15 -0.10 -0.16 -0.11 -0.14 -0.11 -0.10 -0.12 -0.06  0.02 -0.11 -0.09 -0.11 -0.06 -0.18  0.14  0.12 -0.14 -0.07 -0.10 -0.11 -0.11 -0.11 -0.17 
x78:   0.04 -0.01  0.20  0.07  0.03 -0.25  0.19 -0.34  0.44 -0.11 -0.26 -0.26 -0.59 -0.49  0.06 -0.24  0.04  0.59  0.18  0.10  0.52  0.06 -0.47  0.25  0.53  0.43  0.34  0.33  0.14  0.29  0.21  0.38 -0.32 -0.57 -0.36 -0.36  0.20 -0.41  0.21  0.04 -0.07 -0.27  0.31 -0.52 -0.63 -0.58 -0.56  0.09  0.69  0.65  0.59  0.64 -0.05  0.03 -0.30 -0.58 -0.26 -0.43 -0.47 -0.49 -0.50 -0.38 -0.38 -0.36 -0.35  0.26 -0.32 -0.20 -0.08  0.33  0.26  0.00  0.98 -0.39 -0.78  0.61 -0.26  0.18  1.00 -0.22  0.17  0.21 -0.42 -0.31  0.20  0.18  0.18  0.25  0.29  0.30  0.35 -0.28 -0.02 -0.03 -0.27 -0.23 -0.23  0.13  0.51  0.27  0.28 -0.19 -0.26 -0.29 -0.27 -0.20 -0.26 -0.26 -0.26 -0.26 -0.27 -0.25 -0.21 -0.16 -0.28 -0.21 -0.29 -0.26 -0.04 -0.45 -0.20 -0.21 -0.20 -0.29 -0.20 -0.28 -0.24 -0.23 
x79:   0.08  0.05 -0.05  0.00  0.01  0.33  0.05  0.47 -0.45 -0.14  0.16  0.12  0.10  0.07  0.02  0.32  0.02 -0.36 -0.26 -0.07 -0.45  0.14  0.50 -0.02 -0.38 -0.35 -0.25 -0.26 -0.10 -0.14 -0.16 -0.23  0.43  0.48  0.36  0.43 -0.31  0.52 -0.34 -0.01  0.03  0.28 -0.31  0.35  0.21  0.33  0.34  0.23 -0.51 -0.54 -0.51 -0.46 -0.10 -0.19  0.45  0.55  0.14  0.03  0.04  0.06  0.08 -0.03 -0.03 -0.02 -0.01 -0.10  0.14  0.33  0.27  0.06  0.02  0.20 -0.26  0.24  0.20 -0.19  0.36 -0.23 -0.22  1.00  0.37 -0.28  0.44  0.36 -0.30 -0.29 -0.27 -0.35 -0.33 -0.31 -0.32  0.17 -0.13  0.19  0.32  0.22 -0.05  0.18  0.11  0.25  0.19  0.28  0.28  0.28  0.28  0.29  0.29  0.27  0.28  0.24  0.24  0.42  0.16  0.07  0.37  0.27  0.30  0.22  0.22  0.13  0.14  0.32  0.26  0.26  0.21  0.24  0.23  0.27 
x80:   0.27  0.03  0.16  0.03  0.01 -0.09 -0.04  0.17  0.01 -0.39 -0.16  0.04 -0.15 -0.08  0.26 -0.11 -0.30 -0.21 -0.34  0.10 -0.14  0.36  0.18  0.17 -0.21 -0.20 -0.20 -0.20 -0.11 -0.01 -0.11 -0.10  0.00  0.22  0.22  0.27 -0.21  0.28 -0.35  0.05  0.11  0.22 -0.18 -0.02 -0.10 -0.12 -0.07  0.00 -0.11 -0.13 -0.18 -0.08 -0.08 -0.09  0.02  0.10 -0.17 -0.18 -0.22 -0.24 -0.25 -0.34 -0.34 -0.35 -0.34  0.18 -0.20 -0.05 -0.05 -0.04 -0.10 -0.02  0.15 -0.19 -0.11  0.11  0.01 -0.29  0.17  0.37  1.00 -0.33  0.29  0.22 -0.29 -0.28 -0.27 -0.39 -0.33 -0.30 -0.29 -0.04 -0.25  0.36 -0.03 -0.07 -0.32  0.39  0.40  0.33  0.32  0.00  0.00 -0.05  0.00 -0.02 -0.02 -0.07  0.00 -0.05 -0.05  0.06 -0.07 -0.13  0.00 -0.01 -0.05 -0.08  0.03 -0.20 -0.04 -0.02 -0.02 -0.05 -0.08 -0.05 -0.04  0.01 
x81:  -0.14 -0.08 -0.32  0.04  0.04 -0.06  0.25 -0.09  0.02  0.07  0.09  0.10  0.08  0.01 -0.42 -0.06 -0.02  0.16  0.40  0.25 -0.01 -0.46 -0.26 -0.29  0.11  0.04  0.03  0.07  0.07  0.00  0.10  0.04 -0.10 -0.14 -0.20 -0.25  0.11 -0.24  0.31 -0.19 -0.21 -0.24  0.09 -0.07 -0.27 -0.01 -0.05  0.14  0.28  0.25  0.27  0.23  0.08  0.10 -0.15 -0.21 -0.05  0.03  0.06  0.10  0.13 -0.03 -0.02 -0.01 -0.01  0.03 -0.02  0.03  0.09  0.28  0.20  0.28  0.17  0.12 -0.16  0.13 -0.02 -0.13  0.21 -0.28 -0.33  1.00 -0.10 -0.19 -0.01 -0.01  0.00  0.16  0.11  0.09  0.13 -0.02  0.21 -0.36 -0.14 -0.05 -0.03 -0.35 -0.50 -0.48 -0.36 -0.10 -0.15 -0.13 -0.16 -0.08 -0.12 -0.08 -0.15 -0.12 -0.14 -0.13 -0.03 -0.02 -0.10 -0.11 -0.12 -0.13  0.14 -0.41 -0.39 -0.05 -0.10 -0.14 -0.02 -0.11 -0.12 -0.04 
x82:   0.09  0.01 -0.33 -0.05 -0.02  0.06 -0.01  0.49 -0.48 -0.31  0.27  0.28  0.22  0.20  0.15  0.02 -0.41 -0.73 -0.50  0.16 -0.75  0.30  0.69 -0.12 -0.74 -0.66 -0.57 -0.50 -0.21 -0.27 -0.31 -0.48  0.21  0.81  0.69  0.74 -0.53  0.68 -0.59  0.10 -0.08  0.58 -0.55  0.52  0.09  0.52  0.53  0.11 -0.68 -0.71 -0.72 -0.59 -0.02 -0.15  0.18  0.56  0.00  0.15  0.19  0.20  0.25 -0.07 -0.06 -0.07 -0.06 -0.10  0.17  0.30  0.24 -0.06 -0.19  0.30 -0.49  0.37  0.40 -0.32  0.15 -0.44 -0.42  0.44  0.29 -0.10  1.00  0.55 -0.60 -0.58 -0.56 -0.68 -0.68 -0.67 -0.67  0.18 -0.29  0.09  0.10  0.07 -0.15  0.20 -0.15  0.07  0.08  0.07  0.11  0.10  0.11  0.08  0.11  0.09  0.11  0.06  0.07  0.15  0.11 -0.03  0.16  0.09  0.10  0.07  0.05 -0.06 -0.20  0.10  0.06  0.09  0.07  0.11  0.07  0.28 
x83:   0.02  0.00 -0.09 -0.04 -0.02  0.11  0.14  0.30 -0.42 -0.08  0.37  0.17  0.15  0.12  0.05  0.09 -0.21 -0.41 -0.29  0.06 -0.51  0.15  0.56 -0.15 -0.44 -0.41 -0.34 -0.26 -0.12 -0.15 -0.21 -0.28  0.22  0.53  0.58  0.58 -0.36  0.54 -0.37  0.08 -0.08  0.41 -0.38  0.24  0.17  0.25  0.25  0.27 -0.43 -0.47 -0.45 -0.37 -0.08 -0.19  0.21  0.43  0.18  0.09  0.11  0.12  0.16  0.17  0.18  0.18  0.20 -0.32  0.38  0.40  0.35  0.13  0.06  0.31 -0.35  0.43  0.32 -0.26  0.12 -0.24 -0.31  0.36  0.22 -0.19  0.55  1.00 -0.26 -0.24 -0.24 -0.34 -0.32 -0.31 -0.32  0.19 -0.02  0.17  0.16  0.15  0.16  0.12  0.02  0.15  0.12  0.13  0.11  0.10  0.12  0.13  0.12  0.10  0.11  0.07  0.06  0.15  0.20  0.07  0.22  0.14  0.11  0.12  0.08  0.16  0.05  0.11  0.13  0.11  0.06  0.11  0.09  0.20 
x84:  -0.37 -0.07  0.18  0.05  0.02 -0.01  0.13 -0.29  0.09  0.58  0.08 -0.26 -0.18 -0.17 -0.16  0.02  0.33  0.80  0.40 -0.11  0.56 -0.31 -0.40 -0.07  0.81  0.79  0.77  0.59  0.26  0.39  0.36  0.52 -0.13 -0.55 -0.38 -0.48  0.59 -0.43  0.44 -0.09  0.05 -0.53  0.61 -0.38  0.10 -0.32 -0.36  0.07  0.46  0.45  0.50  0.37 -0.22 -0.15 -0.09 -0.27  0.19 -0.03 -0.03 -0.01 -0.02  0.44  0.44  0.45  0.44 -0.31  0.20  0.00  0.03  0.18  0.23 -0.03  0.22  0.01 -0.20  0.14 -0.10  0.31  0.20 -0.30 -0.29 -0.01 -0.60 -0.26  1.00  0.99  0.98  0.85  0.91  0.92  0.89  0.07  0.60 -0.01 -0.02  0.04  0.54 -0.36  0.13 -0.03 -0.09 -0.03 -0.01  0.01  0.00 -0.03 -0.02  0.00 -0.01  0.01  0.01 -0.08  0.04  0.13 -0.03 -0.03  0.00  0.05 -0.09  0.28  0.39 -0.07  0.00  0.01 -0.01 -0.02  0.04 -0.11 
x85:  -0.37 -0.07  0.17  0.05  0.02  0.00  0.12 -0.27  0.07  0.59  0.09 -0.25 -0.18 -0.16 -0.15  0.03  0.33  0.79  0.38 -0.10  0.56 -0.30 -0.39 -0.08  0.81  0.80  0.79  0.58  0.27  0.39  0.35  0.52 -0.11 -0.53 -0.37 -0.48  0.61 -0.42  0.42 -0.11  0.08 -0.54  0.63 -0.37  0.11 -0.31 -0.35  0.06  0.44  0.43  0.48  0.35 -0.23 -0.17 -0.07 -0.25  0.20 -0.01 -0.01  0.01  0.00  0.45  0.45  0.46  0.45 -0.31  0.21  0.00  0.03  0.17  0.21 -0.03  0.20  0.02 -0.18  0.13 -0.09  0.28  0.18 -0.29 -0.28 -0.01 -0.58 -0.24  0.99  1.00  0.99  0.84  0.90  0.91  0.87  0.08  0.60 -0.02  0.00  0.06  0.55 -0.38  0.11 -0.05 -0.11 -0.01  0.01  0.02  0.01 -0.02  0.00  0.01  0.01  0.02  0.01 -0.06  0.06  0.15 -0.01 -0.01  0.01  0.06 -0.07  0.28  0.39 -0.05  0.01  0.02  0.00  0.00  0.06 -0.10 
x86:  -0.36 -0.07  0.15  0.05  0.03  0.02  0.10 -0.25  0.06  0.57  0.08 -0.24 -0.18 -0.15 -0.13  0.05  0.31  0.78  0.35 -0.09  0.56 -0.28 -0.38 -0.09  0.80  0.82  0.82  0.56  0.26  0.40  0.34  0.52 -0.09 -0.51 -0.37 -0.48  0.64 -0.42  0.39 -0.13  0.11 -0.55  0.65 -0.35  0.11 -0.29 -0.33  0.03  0.42  0.41  0.46  0.33 -0.23 -0.18 -0.05 -0.24  0.21  0.00  0.00  0.03  0.01  0.45  0.44  0.46  0.44 -0.30  0.20 -0.01  0.01  0.13  0.17 -0.05  0.20  0.02 -0.17  0.12 -0.06  0.25  0.18 -0.27 -0.27  0.00 -0.56 -0.24  0.98  0.99  1.00  0.81  0.88  0.89  0.85  0.09  0.58 -0.03  0.02  0.08  0.53 -0.39  0.09 -0.06 -0.13  0.01  0.03  0.03  0.03  0.00  0.02  0.02  0.03  0.04  0.02 -0.04  0.07  0.16  0.01  0.02  0.02  0.06 -0.06  0.26  0.39 -0.03  0.03  0.03  0.02  0.01  0.08 -0.09 
x87:  -0.29 -0.05  0.17  0.07  0.03 -0.01  0.15 -0.32  0.13  0.57  0.07 -0.30 -0.16 -0.20 -0.26  0.03  0.41  0.81  0.54 -0.17  0.57 -0.42 -0.52 -0.09  0.79  0.74  0.70  0.60  0.29  0.35  0.41  0.53 -0.15 -0.66 -0.49 -0.56  0.54 -0.52  0.58 -0.13 -0.06 -0.56  0.55 -0.35  0.03 -0.30 -0.33  0.09  0.51  0.51  0.57  0.42 -0.15 -0.06 -0.10 -0.33  0.16 -0.05 -0.04  0.00 -0.01  0.40  0.40  0.42  0.41 -0.26  0.16 -0.01  0.03  0.23  0.28  0.02  0.28  0.00 -0.22  0.15 -0.08  0.26  0.25 -0.35 -0.39  0.16 -0.68 -0.34  0.85  0.84  0.81  1.00  0.96  0.93  0.95  0.05  0.62 -0.04 -0.04  0.01  0.50 -0.45  0.00 -0.14 -0.18 -0.04 -0.04 -0.02 -0.04 -0.04 -0.04 -0.02 -0.04 -0.02 -0.01 -0.11  0.01  0.10 -0.07 -0.05 -0.02  0.02 -0.06  0.25  0.33 -0.07 -0.02 -0.01 -0.01 -0.03  0.01 -0.12 
x88:  -0.31 -0.06  0.22  0.07  0.03 -0.01  0.17 -0.30  0.13  0.55  0.06 -0.30 -0.19 -0.21 -0.23  0.03  0.40  0.85  0.51 -0.17  0.60 -0.38 -0.50 -0.07  0.84  0.79  0.76  0.62  0.28  0.38  0.41  0.55 -0.14 -0.65 -0.47 -0.55  0.58 -0.50  0.54 -0.13 -0.02 -0.58  0.59 -0.40  0.04 -0.35 -0.39  0.10  0.52  0.51  0.57  0.42 -0.18 -0.09 -0.09 -0.31  0.15 -0.07 -0.06 -0.03 -0.04  0.39  0.39  0.41  0.40 -0.26  0.16 -0.01  0.03  0.24  0.28  0.01  0.31 -0.03 -0.26  0.18 -0.08  0.27  0.29 -0.33 -0.33  0.11 -0.68 -0.32  0.91  0.90  0.88  0.96  1.00  0.98  0.99  0.07  0.63  0.02 -0.03  0.02  0.50 -0.42  0.08 -0.10 -0.14 -0.03 -0.03 -0.01 -0.02 -0.03 -0.03 -0.02 -0.03 -0.01 -0.01 -0.09  0.01  0.10 -0.05 -0.04 -0.02  0.02 -0.05  0.23  0.37 -0.07 -0.01  0.00 -0.02 -0.03  0.02 -0.11 
x89:  -0.31 -0.06  0.22  0.08  0.04  0.00  0.18 -0.29  0.12  0.54  0.06 -0.29 -0.19 -0.20 -0.22  0.04  0.39  0.86  0.50 -0.16  0.61 -0.37 -0.49 -0.07  0.84  0.79  0.77  0.62  0.28  0.38  0.39  0.55 -0.13 -0.64 -0.46 -0.55  0.60 -0.48  0.52 -0.14  0.01 -0.59  0.61 -0.42  0.06 -0.37 -0.41  0.11  0.52  0.50  0.56  0.42 -0.20 -0.10 -0.08 -0.30  0.17 -0.06 -0.06 -0.03 -0.04  0.39  0.39  0.41  0.40 -0.27  0.16  0.00  0.04  0.24  0.28  0.01  0.31 -0.02 -0.26  0.18 -0.07  0.26  0.30 -0.31 -0.30  0.09 -0.67 -0.31  0.92  0.91  0.89  0.93  0.98  1.00  0.98  0.10  0.64  0.04 -0.01  0.03  0.50 -0.42  0.10 -0.10 -0.15 -0.02 -0.01  0.00 -0.01 -0.02 -0.02  0.00 -0.01  0.00  0.00 -0.08  0.02  0.10 -0.04 -0.02  0.00  0.03 -0.04  0.23  0.39 -0.05  0.01  0.01 -0.01 -0.02  0.03 -0.10 
x90:  -0.30 -0.06  0.22  0.07  0.04 -0.02  0.18 -0.28  0.13  0.51  0.03 -0.31 -0.22 -0.23 -0.23  0.01  0.39  0.86  0.51 -0.17  0.59 -0.37 -0.51 -0.06  0.84  0.78  0.75  0.63  0.29  0.39  0.42  0.56 -0.15 -0.66 -0.48 -0.54  0.57 -0.50  0.54 -0.12 -0.03 -0.57  0.58 -0.41  0.00 -0.37 -0.40  0.11  0.53  0.51  0.57  0.43 -0.18 -0.08 -0.10 -0.31  0.13 -0.09 -0.08 -0.06 -0.06  0.34  0.35  0.37  0.36 -0.23  0.12 -0.02  0.03  0.26  0.29  0.04  0.36 -0.05 -0.31  0.21 -0.09  0.25  0.35 -0.32 -0.29  0.13 -0.67 -0.32  0.89  0.87  0.85  0.95  0.99  0.98  1.00  0.06  0.62  0.05 -0.05  0.00  0.46 -0.40  0.10 -0.09 -0.13 -0.04 -0.03 -0.02 -0.03 -0.04 -0.04 -0.03 -0.03 -0.02 -0.02 -0.09  0.00  0.08 -0.06 -0.04 -0.03  0.01 -0.05  0.19  0.34 -0.07 -0.02 -0.02 -0.03 -0.04  0.01 -0.10 
